team,region rank,previous rank,State,elo,global rank,previous elo
4478D,1,4478D,Connecticut,1152.647,71,1
1898A,2,1898A,Massachusetts,1130.401,95,2
1898R,3,1898R,Massachusetts,1118.378,108,3
1695B,4,1695B,Connecticut,1084.518,159,4
2442B,5,2442B,Massachusetts,1082.208,164,5
4478V,6,4478V,Connecticut,1037.491,280,6
4478Z,7,4478Z,Connecticut,1010.470,394,7
10102Z,8,10102Z,Massachusetts,982.722,526,8
63857D,9,63857D,Massachusetts,978.829,554,9
375X,10,375X,Connecticut,974.639,572,10
1784X,11,1784X,Rhode Island,974.056,573,11
13085A,12,13085A,Massachusetts,972.586,587,12
5150J,13,5150J,Connecticut,964.186,649,13
8568X,14,8568X,Massachusetts,959.878,681,14
63857A,15,63857A,Massachusetts,958.170,696,15
4478R,16,4478R,Connecticut,957.308,701,16
41364A,17,41364A,Connecticut,953.147,732,17
1717B,18,1717B,Massachusetts,947.389,784,18
902E,19,902E,Connecticut,937.861,858,19
8079M,20,8079M,Connecticut,935.739,879,20
1784Z,21,1784Z,Rhode Island,930.375,926,21
5150G,22,5150G,Connecticut,919.142,1048,22
977Z,23,977Z,Massachusetts,915.166,1104,23
195D,24,195D,Connecticut,913.593,1120,24
2602A,25,2602A,Massachusetts,913.349,1125,25
195E,26,195E,Connecticut,910.186,1165,26
9421X,27,9421X,Massachusetts,908.204,1199,27
195A,28,195A,Connecticut,899.844,1303,28
2442A,29,2442A,Massachusetts,892.398,1430,29
5150D,30,5150D,Connecticut,890.286,1463,30
785Z,31,785Z,Massachusetts,888.804,1489,31
9228B,32,9228B,Massachusetts,886.432,1527,32
8079A,33,8079A,Connecticut,882.188,1614,33
99928C,34,99928C,Massachusetts,880.343,1650,34
12433A,35,12433A,Massachusetts,878.480,1694,35
48425A,36,48425A,Massachusetts,873.611,1777,36
3157A,37,3157A,Massachusetts,867.995,1876,37
4898A,38,4898A,Massachusetts,863.604,1982,38
817B,39,817B,Massachusetts,863.311,1991,39
877J,40,877J,Connecticut,861.999,2015,40
4344Y,41,4344Y,Massachusetts,861.724,2019,41
63857E,42,63857E,Massachusetts,859.501,2061,42
75432B,43,75432B,Connecticut,859.090,2071,43
1784W,44,1784W,Rhode Island,856.431,2129,44
4478F,45,4478F,Connecticut,850.351,2267,45
8878E,46,8878E,Connecticut,849.819,2279,46
4344X,47,4344X,Massachusetts,845.944,2370,47
8025B,48,8025B,Massachusetts,844.589,2402,48
4811A,49,4811A,Massachusetts,844.218,2413,49
1695C,50,1695C,Connecticut,844.041,2419,50
9791E,51,9791E,Massachusetts,842.987,2444,51
9228C,52,9228C,Massachusetts,837.914,2555,52
4344Z,53,4344Z,Massachusetts,836.669,2586,53
9791C,54,9791C,Massachusetts,836.463,2589,54
55550X,55,55550X,Massachusetts,835.991,2598,55
12433C,56,12433C,Massachusetts,834.114,2650,56
8568H,57,8568H,Massachusetts,831.033,2728,57
195C,58,195C,Connecticut,830.997,2729,58
5150H,59,5150H,Connecticut,830.439,2740,59
50239A,60,50239A,Connecticut,829.599,2763,60
2442F,61,2442F,Massachusetts,828.272,2799,61
10102A,62,10102A,Massachusetts,827.863,2812,62
1778C,63,1778C,Massachusetts,826.929,2829,63
1695D,64,1695D,Connecticut,825.498,2856,64
5150F,65,5150F,Connecticut,824.709,2871,65
697X,66,697X,Massachusetts,823.114,2897,66
2606C,67,2606C,Massachusetts,822.653,2909,67
2602F,68,2602F,Massachusetts,822.431,2915,68
10900Z,69,10900Z,Massachusetts,822.278,2920,69
1898M,70,1898M,Massachusetts,817.893,3021,70
9909B,71,9909B,Connecticut,816.848,3039,71
97492A,72,97492A,Rhode Island,812.449,3138,72
4478B,73,4478B,Connecticut,811.423,3159,73
4716D,74,4716D,Massachusetts,810.842,3171,74
17814E,75,17814E,Connecticut,809.667,3201,75
3379A,76,3379A,Massachusetts,809.044,3218,76
877H,77,877H,Connecticut,803.941,3343,77
8568G,78,8568G,Massachusetts,800.725,3427,78
9228A,79,9228A,Massachusetts,800.041,3436,79
785E,80,785E,Massachusetts,796.088,3537,80
5313A,81,5313A,Massachusetts,794.052,3602,81
2602H,82,2602H,Massachusetts,791.712,3671,82
75432A,83,75432A,Connecticut,791.652,3674,83
5150E,84,5150E,Connecticut,790.864,3698,84
2606A,85,2606A,Massachusetts,786.861,3791,85
9909F,86,9909F,Connecticut,786.7889,3792,86
785B,87,785B,Massachusetts,786.2522,3812,87
5150K,88,5150K,Connecticut,785.7757,3821,88
99928B,89,99928B,Massachusetts,782.8853,3884,89
2602B,90,2602B,Massachusetts,782.4195,3906,90
1898S,91,1898S,Massachusetts,777.0468,4017,91
97492B,92,97492B,Rhode Island,777.0157,4018,92
10102X,93,10102X,Massachusetts,775.6764,4055,93
1697A,94,1697A,Connecticut,775.1431,4070,94
1695E,95,1695E,Connecticut,773.9421,4096,95
817D,96,817D,Massachusetts,773.3044,4114,96
817F,97,817F,Massachusetts,772.346,4141,97
4716A,98,4716A,Massachusetts,769.2187,4221,98
8025A,99,8025A,Massachusetts,769.1072,4225,99
1695A,100,1695A,Connecticut,768.3849,4242,100
1188A,101,1188A,Connecticut,768.1943,4248,101
70820X,102,70820X,Massachusetts,768.1146,4250,102
64345A,103,64345A,Massachusetts,767.4895,4267,103
17814Z,104,17814Z,Connecticut,766.2473,4293,104
1697B,105,1697B,Connecticut,765.4111,4321,105
8878A,106,8878A,Connecticut,764.4351,4353,106
4478A,107,4478A,Connecticut,763.2492,4378,107
8878B,108,8878B,Connecticut,761.7382,4426,108
9909C,109,9909C,Connecticut,760.2063,4480,109
8370A,110,8370A,Connecticut,759.108,4511,110
2602K,111,2602K,Massachusetts,756.643,4567,111
12433B,112,12433B,Massachusetts,756.0525,4583,112
2713C,113,2713C,Massachusetts,756.0396,4584,113
2713A,114,2713A,Massachusetts,755.6035,4594,114
16738A,115,16738A,Massachusetts,754.7939,4616,115
4898C,116,4898C,Massachusetts,753.8693,4644,116
5313C,117,5313C,Massachusetts,751.8209,4693,117
9791B,118,9791B,Massachusetts,751.3092,4707,118
1930C,119,1930C,Connecticut,751.16,4714,119
18891B,120,18891B,Connecticut,747.8453,4791,120
1127Z,121,1127Z,Massachusetts,746.7666,4815,121
17814V,122,17814V,Connecticut,746.4305,4822,122
17814Y,123,17814Y,Connecticut,745.0412,4859,123
8568F,124,8568F,Massachusetts,742.6827,4899,124
4898B,125,4898B,Massachusetts,741.4469,4923,125
4344A,126,4344A,Massachusetts,741.2445,4930,126
3157N,127,3157N,Massachusetts,740.1112,4969,127
697D,128,697D,Massachusetts,739.3997,4982,128
785A,129,785A,Massachusetts,734.294,5104,129
17814W,130,17814W,Connecticut,732.5357,5143,130
8568D,131,8568D,Massachusetts,731.7552,5159,131
8878G,132,8878G,Connecticut,731.708,5161,132
9909A,133,9909A,Connecticut,731.1519,5177,133
2602M,134,2602M,Massachusetts,730.749,5190,134
15797A,135,15797A,Massachusetts,727.966,5243,135
195B,136,195B,Connecticut,723.9071,5334,136
49585B,137,49585B,Massachusetts,722.4078,5364,137
1778B,138,1778B,Massachusetts,720.5672,5416,138
1778A,139,1778A,Massachusetts,720.3376,5421,139
17814X,140,17814X,Connecticut,719.5835,5436,140
902B,141,902B,Connecticut,719.0716,5447,141
39545B,142,39545B,Connecticut,718.9344,5451,142
9421V,143,9421V,Massachusetts,718.0147,5472,143
4478C,144,4478C,Connecticut,717.2609,5482,144
2602G,145,2602G,Massachusetts,714.9818,5525,145
18891A,146,18891A,Connecticut,714.4809,5537,146
902D,147,902D,Connecticut,712.8897,5570,147
8079C,148,8079C,Connecticut,712.7768,5573,148
9791D,149,9791D,Massachusetts,711.5959,5595,149
9421R,150,9421R,Massachusetts,711.0128,5610,150
2606B,151,2606B,Massachusetts,710.281,5623,151
75432C,152,75432C,Connecticut,708.2752,5658,152
30906A,153,30906A,Massachusetts,708.1945,5659,153
8025C,154,8025C,Massachusetts,707.0055,5683,154
8568A,155,8568A,Massachusetts,706.7945,5692,155
30906B,156,30906B,Massachusetts,703.6786,5747,156
2621A,157,2621A,Massachusetts,702.8942,5763,157
8878F,158,8878F,Connecticut,700.6148,5796,158
162A,159,162A,Connecticut,697.8028,5846,159
17814F,160,17814F,Connecticut,697.0664,5862,160
16738B,161,16738B,Massachusetts,696.1314,5888,161
81118P,162,81118P,Massachusetts,692.6543,5944,162
8878C,163,8878C,Connecticut,689.6546,5996,163
2602E,164,2602E,Massachusetts,689.5951,5998,164
99928D,165,99928D,Massachusetts,683.7871,6092,165
17814C,166,17814C,Connecticut,679.9846,6152,166
8878D,167,8878D,Connecticut,679.8711,6153,167
17814B,168,17814B,Connecticut,679.6736,6157,168
39545A,169,39545A,Connecticut,677.2757,6190,169
1188B,170,1188B,Connecticut,676.8126,6196,170
12345A,171,12345A,Connecticut,673.8863,6234,171
4344E,172,4344E,Massachusetts,671.5935,6270,172
9909D,173,9909D,Connecticut,670.8285,6281,173
5313B,174,5313B,Massachusetts,669.715,6306,174
4344D,175,4344D,Massachusetts,668.507,6318,175
2442E,176,2442E,Massachusetts,667.2028,6339,176
902C,177,902C,Connecticut,666.7779,6342,177
8079R,178,8079R,Connecticut,666.6377,6344,178
1717K,179,1717K,Massachusetts,663.3915,6381,179
1930E,180,1930E,Connecticut,662.9506,6386,180
55550W,181,55550W,Massachusetts,660.2417,6419,181
50239B,182,50239B,Connecticut,659.4908,6427,182
2602D,183,2602D,Massachusetts,657.5864,6450,183
877Z,184,877Z,Connecticut,653.7677,6480,184
99928E,185,99928E,Massachusetts,647.7863,6566,185
2713B,186,2713B,Massachusetts,642.4448,6611,186
8568B,187,8568B,Massachusetts,641.4382,6619,187
8568C,188,8568C,Massachusetts,635.8011,6667,188
1618A,189,1618A,Connecticut,622.0636,6762,189
17814A,190,17814A,Connecticut,621.5981,6767,190
8568E,191,8568E,Massachusetts,620.5933,6775,191
17814D,192,17814D,Connecticut,613.2017,6814,192
1784Y,193,1784Y,Rhode Island,610.5548,6828,193
13085B,194,13085B,Massachusetts,608.1835,6841,194
2602C,195,2602C,Massachusetts,607.4542,6846,195
75432D,196,75432D,Connecticut,559.3455,7031,196
99928A,197,99928A,Massachusetts,559.1939,7033,197
902X,198,902X,Connecticut,542.1587,7065,198
51707K,199,51707K,Connecticut,531.8525,7078,199